ep,succ,rsn,T,vfwd,vrmse,yaw,yr,tilt,bnc,scf,ret
0,1,timeout,15.0,0.10452792048454285,0.19086673855781555,0.08628834784030914,0.030373243615031242,0.024951477205818084,0.12041459232568741,131.75,162.01170349121094
1,1,timeout,15.0,0.1099390834569931,0.2325817048549652,0.08623852580785751,0.025371655821800232,0.019712611627812664,0.12209217250347137,131.5,152.96998596191406
2,1,timeout,15.0,0.12233154475688934,0.19020462036132812,0.07144156098365784,0.02819630689918995,0.01921260125264667,0.1265953779220581,132.75,164.8357696533203
3,1,timeout,15.0,0.11269795894622803,0.206685870885849,0.03552306070923805,0.026509296149015427,0.019593122178316703,0.11800279468297958,136.75,157.43084716796875
4,1,timeout,15.0,0.10451874136924744,0.21346139907836914,0.019699739292263985,0.031711529940366745,0.028348405949264365,0.12758733332157135,133.5,162.05389404296875
5,1,timeout,15.0,0.12055017054080963,0.2251013070344925,0.02877797745168209,0.026274828240275383,0.022509346459144316,0.13010495901107788,135.0,155.6129913330078
6,1,timeout,15.0,0.09491267800331116,0.21940107643604279,0.031255755573511124,0.03133762255311012,0.02409583398345447,0.12524950504302979,131.5,151.65829467773438
7,0,timeout,15.0,0.11988120526075363,0.20972546935081482,0.17460912466049194,0.03422045707702637,0.025583704585673956,0.12294648587703705,135.75,74.95519256591797
8,1,timeout,15.0,0.08702223002910614,0.25390663743019104,0.006499310955405235,0.03142021596431732,0.02110525375791399,0.12209992855787277,134.5,152.2069091796875
9,1,timeout,15.0,0.10041942447423935,0.2170228511095047,0.02967989258468151,0.025503331795334816,0.020187530826794354,0.1210702583193779,140.25,174.73776245117188
10,1,timeout,15.0,0.12979422509670258,0.20877131819725037,0.041133902966976166,0.026905730366706848,0.024397914502976206,0.12029917538166046,135.25,160.84677124023438
11,1,timeout,15.0,0.10868195444345474,0.1938610076904297,0.027423717081546783,0.024113506078720093,0.018941491157887867,0.12144101411104202,139.0,187.128173828125
12,1,timeout,15.0,0.10840851813554764,0.231564000248909,0.008625275455415249,0.028711995109915733,0.020454333606286255,0.12288609147071838,135.5,175.8713836669922
13,1,timeout,15.0,0.10205458849668503,0.22101841866970062,0.02634730003774166,0.024477440863847733,0.019629727045283138,0.12555530667304993,139.25,174.28736877441406
14,1,timeout,15.0,0.14370830357074738,0.20246745645999908,0.004932273179292679,0.029502036049962044,0.02198028860597809,0.12769269943237305,136.5,164.95782470703125
15,0,timeout,15.0,0.0973135381937027,0.20223945379257202,0.12034796178340912,0.027339106425642967,0.022111962200101965,0.12068824470043182,133.0,122.54557037353516
16,1,timeout,15.0,0.10694190859794617,0.22155915200710297,0.01962795853614807,0.028117181733250618,0.020813395495012318,0.1267145574092865,135.25,159.44784545898438
17,1,timeout,15.0,0.11296297609806061,0.202143594622612,0.002675450872629881,0.033767394721508026,0.030844073365022488,0.124090276658535,135.25,161.56112670898438
18,1,timeout,15.0,0.09962359070777893,0.21433404088020325,0.06969708204269409,0.02884281799197197,0.02721083691283206,0.12179077416658401,135.75,140.7563934326172
19,1,timeout,15.0,0.12030749768018723,0.2315596491098404,0.07707512378692627,0.032845739275217056,0.022669763760752408,0.12590284645557404,129.75,107.7845687866211
20,1,timeout,15.0,0.09043953567743301,0.18094241619110107,0.05084911733865738,0.030900727957487106,0.021183232656169972,0.12333087623119354,132.0,128.4656524658203
21,1,timeout,15.0,0.12376876175403595,0.18472295999526978,0.013949871063232422,0.02543404884636402,0.02155306316315542,0.12634500861167908,131.75,190.04991149902344
